subject	relation	object	time_step	datetime
AMERICAN	051 Praise or endorse	HONDURAS	5370	2018-01-04 17:30
MALAYSIA	070 Provide aid, not specified below	HOSPITAL	4725	2018-01-04 06:45
CALIFORNIA	046 Engage in negotiation	ONTARIO	375	2018-01-01 06:15
POLICE	043 Host a visit	INSPECTOR GENERAL	14400	2018-01-11 00:00
UNITED STATES	020 Appeal, not specified below	NEW JERSEY	20415	2018-01-15 04:15
SAUDI ARABIA	036 Express intent to meet or negotiate	KUALA LUMPUR	16095	2018-01-12 04:15
AFRICA	020 Appeal, not specified below	WORLD ECONOMIC FORUM	32460	2018-01-23 13:00
LAWMAKER	020 Appeal, not specified below	UNITED STATES	13035	2018-01-10 01:15
SCHOOL	036 Express intent to meet or negotiate	SEATTLE	5220	2018-01-04 15:00
NORTH KOREA	046 Engage in negotiation	SOUTH KOREA	6435	2018-01-05 11:15
UNITED NATIONS	051 Praise or endorse	REPUBLIC OF KOREA	4515	2018-01-04 03:15
GAZA	112 Accuse, not specified below	HAMAS	9525	2018-01-07 14:45
INDUSTRY	120 Reject, not specified below	COMPANY	19590	2018-01-14 14:30
GERMANY	1821 Sexually assault	PRISON	20670	2018-01-15 08:30
UNITED STATES	193 Fight with small arms and light weapons	DETECTIVE	24405	2018-01-17 22:45
FARMER	010 Make statement, not specified below	COLORADO	24330	2018-01-17 21:30
FREEDOM HOUSE	0841 Return, release person(s)	ACTIVIST	22920	2018-01-16 22:00
EDUCATIONAL INSTITUTION	036 Express intent to meet or negotiate	PRESIDENT	18045	2018-01-13 12:45
HARTFORD	070 Provide aid, not specified below	SOUTH KOREA	5265	2018-01-04 15:45
UNITED STATES	036 Express intent to meet or negotiate	CLERIC	1950	2018-01-02 08:30
TRINIDAD	010 Make statement, not specified below	UNITED STATES	4620	2018-01-04 05:00
POLICE	175 Use tactics of violent repression  	PROTESTER	15900	2018-01-12 01:00
PHILADELPHIA	051 Praise or endorse	KING	24315	2018-01-17 21:15
RHODES	100 Demand, not specified below	CYPRUS	4815	2018-01-04 08:15
COMPANIES	020 Appeal, not specified below	FIGHTER	25740	2018-01-18 21:00
UNITED KINGDOM	060 Engage in material cooperation, not specified below	BRITISH	25770	2018-01-18 21:30
WRITER	017 Engage in symbolic act	KING	33150	2018-01-24 00:30
EUROPE	020 Appeal, not specified below	NORTH AMERICA	15000	2018-01-11 10:00
ITALY	040 Consult, not specified below	GREECE	17025	2018-01-12 19:45
COMPANY	042 Make a visit	DEALER	930	2018-01-01 15:30
THE US	111 Criticize or denounce 	ISRAEL	13905	2018-01-10 15:45
CHINESE	057 Sign formal agreement	MEDIA	18405	2018-01-13 18:45
ETHIOPIA	050 Engage in diplomatic cooperation, not specified below	EGYPT	17115	2018-01-12 21:15
UNITED STATES	186 Assassinate 	KING	33015	2018-01-23 22:15
UGANDA	042 Make a visit	ANGLICAN	4410	2018-01-04 01:30
DISTRICT COURT	112 Accuse, not specified below	UNITED STATES	31260	2018-01-22 17:00
SCHOOL	043 Host a visit	FLORIDA	24480	2018-01-18 00:00
EGYPT	040 Consult, not specified below	JORDAN	12150	2018-01-09 10:30
ISRAEL	010 Make statement, not specified below	REGIME	24855	2018-01-18 06:15
POLICE	180 Use unconventional violence, not specified below	THE US	23175	2018-01-17 02:15
UNITED STATES	040 Consult, not specified below	JUDGE	8205	2018-01-06 16:45
SHANGHAI	043 Host a visit	BUENOS AIRES	29535	2018-01-21 12:15
PRESIDENT	051 Praise or endorse	UNITED STATES	16875	2018-01-12 17:15
JERUSALEM	040 Consult, not specified below	EGYPT	8190	2018-01-06 16:30
POLICE	190 Use conventional military force, not specified below	AFGHANISTAN	6705	2018-01-05 15:45
WASHINGTON	043 Host a visit	NORTH KOREA	13020	2018-01-10 01:00
CANADA	114 Complain officially 	ADMINISTRATION	14160	2018-01-10 20:00
RUSSIA	084 Return, release, not specified below	SENATE	13005	2018-01-10 00:45
IRANIAN	012 Make pessimistic comment	CHINA	22350	2018-01-16 12:30
NIGERIA	110 Disapprove, not specified below	POLICE	6960	2018-01-05 20:00
CHRISTCHURCH	042 Make a visit	HOSPITAL	3660	2018-01-03 13:00
MINIST	036 Express intent to meet or negotiate	CHURCH OF THE BRETHREN	8025	2018-01-06 13:45
RUSSIAN	043 Host a visit	SAINT	19860	2018-01-14 19:00
DAMASCUS	042 Make a visit	IRAN	13260	2018-01-10 05:00
UNITED STATES	112 Accuse, not specified below	DOCTOR	18885	2018-01-14 02:45
LAOS	036 Express intent to meet or negotiate	CHINA	14130	2018-01-10 19:30
MELBOURNE	173 Arrest, detain, or charge with legal action 	POLICE	21990	2018-01-16 06:30
WRITER	036 Express intent to meet or negotiate	RELIGION	33120	2018-01-24 00:00
UNITED STATES	042 Make a visit	HONDURAS	4155	2018-01-03 21:15
IRELAND	036 Express intent to meet or negotiate	UNITED KINGDOM	16170	2018-01-12 05:30
MALAWI	012 Make pessimistic comment	COMMUNITY	12465	2018-01-09 15:45
ARMY CHIEF	026 Appeal to others to meet or negotiate	CHINA	12285	2018-01-09 12:45
AFRICA	0874 Retreat or surrender militarily	ASWAN	31140	2018-01-22 15:00
HOSPITAL	080 Yield, not specified below 	HEALTH MINIST	26745	2018-01-19 13:45
NEPALESE	173 Arrest, detain, or charge with legal action 	CHRISTIANITY	22425	2018-01-16 13:45
AFGHANISTAN	035 Express intent to yield, not specified below	ARMED GROUP	25635	2018-01-18 19:15
REFUGEE	080 Yield, not specified below 	UGANDA	26400	2018-01-19 08:00
BUSINESS	020 Appeal, not specified below	CANADA	10125	2018-01-08 00:45
MICHIGAN	043 Host a visit	KING	21030	2018-01-15 14:30
CALIFORNIA	043 Host a visit	PROTESTER	5385	2018-01-04 17:45
ITALY	042 Make a visit	SWEDEN	6570	2018-01-05 13:30
UNITED STATES	060 Engage in material cooperation, not specified below	CAPTAIN	14280	2018-01-10 22:00
SCHOOL	043 Host a visit	NASHVILLE	510	2018-01-01 08:30
UNITED STATES	019 Express accord	ATTORNEY GENERAL	17355	2018-01-13 01:15
SAUDI ARABIA	040 Consult, not specified below	QATARI	15255	2018-01-11 14:15
BOSS	090 Investigate, not specified below	ADMINISTRATION	26565	2018-01-19 10:45
PRESIDENT	161 Reduce or break diplomatic relations	LONDON	16845	2018-01-12 16:45
AOTEAROA	0842 Return, release property	MAORI	33930	2018-01-24 13:30
UNITED STATES	051 Praise or endorse	KING	15180	2018-01-11 13:00
AIYAZ SAYED KHAIYUM	130 Threaten, not specified below	SCHOOL	20190	2018-01-15 00:30
MEXICO	070 Provide aid, not specified below	POPULATION	15345	2018-01-11 15:45
SPOKESMAN	110 Disapprove, not specified below	EL SALVADOR	19575	2018-01-14 14:15
SYRIA	020 Appeal, not specified below	UNITED STATES	34215	2018-01-24 18:15
UNITED STATES	110 Disapprove, not specified below	COMMUNITY	34440	2018-01-24 22:00
WASHINGTON	110 Disapprove, not specified below	NEIGHBORHOOD	27570	2018-01-20 03:30
IRELAND	040 Consult, not specified below	MINIST FOR COMMUNICATIONS	25650	2018-01-18 19:30
NEBRASKA	071 Provide economic aid	UNITED STATES	6615	2018-01-05 14:15
COMMUNITY	010 Make statement, not specified below	CAMBODIA	14145	2018-01-10 19:45
WRITER	015 Acknowledge or claim responsibility	SUPERIOR COURT	25935	2018-01-19 00:15
ADMINISTRATION	042 Make a visit	DENVER	30045	2018-01-21 20:45
NIGERIA	043 Host a visit	SOUTH KOREA	10440	2018-01-08 06:00
NEW JERSEY	110 Disapprove, not specified below	NATIONALS	21765	2018-01-16 02:45
GANG	1712 Destroy property	PARIS	14550	2018-01-11 02:30
MEXICO	071 Provide economic aid	CONGRESS	8760	2018-01-07 02:00
DUBAI	057 Sign formal agreement	VILLAGE	17445	2018-01-13 02:45
VIETNAM	046 Engage in negotiation	LAOS	14760	2018-01-11 06:00
ADMINISTRATION	060 Engage in material cooperation, not specified below	PAKISTAN	13890	2018-01-10 15:30
CORRESPONDENT	041 Discuss by telephone	STUDENT	31560	2018-01-22 22:00
ASHRAF GHANI	042 Make a visit	KABUL	30030	2018-01-21 20:30
TERRORIST	173 Arrest, detain, or charge with legal action 	UNITED STATES	26985	2018-01-19 17:45
AFGHANISTAN	060 Engage in material cooperation, not specified below	CIVILIAN	22275	2018-01-16 11:15
LUCKNOW	120 Reject, not specified below	SHIA	25035	2018-01-18 09:15
INDONESIA	013 Make optimistic comment	PRESIDENT	33120	2018-01-24 00:00
UNITED STATES	0841 Return, release person(s)	IRAN	12135	2018-01-09 10:15
PRESIDENT	190 Use conventional military force, not specified below	MANCHESTER	15045	2018-01-11 10:45
BEIRUT	071 Provide economic aid	PALESTINIAN	16740	2018-01-12 15:00
PRINCE	0874 Retreat or surrender militarily	LONDON	13455	2018-01-10 08:15
SCHOOL	020 Appeal, not specified below	VOTER	34245	2018-01-24 18:45
COMPANY	173 Arrest, detain, or charge with legal action 	JAPAN	33180	2018-01-24 01:00
OPPOSITION LEADER	036 Express intent to meet or negotiate	AUSTRALIA	17295	2018-01-13 00:15
PRESIDENT	046 Engage in negotiation	TELUGU	16335	2018-01-12 08:15
COMPANY	051 Praise or endorse	DUTCH	5625	2018-01-04 21:45
CHINA	050 Engage in diplomatic cooperation, not specified below	UNITED STATES	24585	2018-01-18 01:45
MAHARASHTRA	030 Express intent to cooperate, not specified below	DOCTOR	10380	2018-01-08 05:00
NAMA	017 Engage in symbolic act	QATAR	25590	2018-01-18 18:30
THE WHITE HOUSE	013 Make optimistic comment	UNITED STATES	24075	2018-01-17 17:15
STUDENT	020 Appeal, not specified below	BANGLADESH	8940	2018-01-07 05:00
INTELLIGENCE	051 Praise or endorse	UNITED STATES	29295	2018-01-21 08:15
ARMENIA	046 Engage in negotiation	FRANCE	32670	2018-01-23 16:30
FLORIDA	051 Praise or endorse	EMPLOYER	24195	2018-01-17 19:15
UNITED STATES	043 Host a visit	COAST GUARD	1995	2018-01-02 09:15
VIJAY GOEL	130 Threaten, not specified below	DELHI	31320	2018-01-22 18:00
DR CONGO	141 Demonstrate or rally	CONGO	21150	2018-01-15 16:30
ATTORNEY GENERAL	040 Consult, not specified below	BILL CLINTON	30660	2018-01-22 07:00
IRANIAN	010 Make statement, not specified below	TANKER	10860	2018-01-08 13:00
TOURIST	1124 Accuse of war crimes	BELGIUM	20100	2018-01-14 23:00
AUTHORITIES	040 Consult, not specified below	CITIZEN	33645	2018-01-24 08:45
THE ASSOCIATED PRESS	010 Make statement, not specified below	SECURITIES AND EXCHANGE COMMISSION	13890	2018-01-10 15:30
TEL AVIV	043 Host a visit	JORDAN	29925	2018-01-21 18:45
JAPAN	070 Provide aid, not specified below	UNITED STATES	3885	2018-01-03 16:45
PROSECUTOR	010 Make statement, not specified below	TRAFFICKER	34305	2018-01-24 19:45
ATTORNEY	090 Investigate, not specified below	CRIMINAL	33555	2018-01-24 07:15
SCHOOL	084 Return, release, not specified below	MINIST OF EDUCATION	33540	2018-01-24 07:00
ILLINOIS	042 Make a visit	SCHOOL	18120	2018-01-13 14:00
TURKEY	040 Consult, not specified below	TURKISH	28815	2018-01-21 00:15
MEXICO	075 Grant asylum	ADMINISTRATION	22515	2018-01-16 15:15
GREECE	190 Use conventional military force, not specified below	TERRORIST	6720	2018-01-05 16:00
KENYA	043 Host a visit	AFRICA	27000	2018-01-19 18:00
MINNESOTA	030 Express intent to cooperate, not specified below	VOTER	14220	2018-01-10 21:00
UNITED KINGDOM	143 Conduct strike or boycott, not specified below	CABINET	12120	2018-01-09 10:00
IRANIAN	192 Occupy territory	SYRIAN	12495	2018-01-09 16:15
SUDAN	0841 Return, release person(s)	MEDIA	27975	2018-01-20 10:15
GOVERNOR	028 Appeal to others to engage in or accept mediation	FLORIDA	7245	2018-01-06 00:45
GERMANY	070 Provide aid, not specified below	COMPANY	30960	2018-01-22 12:00
HIGH COURT	120 Reject, not specified below	NIGERIAN	19050	2018-01-14 05:30
AUSTRALIAN	090 Investigate, not specified below	CONVICTS	33330	2018-01-24 03:30
HAITI	163 Impose embargo, boycott, or sanctions	IRAN	16770	2018-01-12 15:30
REGIME	010 Make statement, not specified below	SOUTH KOREA	4035	2018-01-03 19:15
POLICE	010 Make statement, not specified below	UNITED STATES	20685	2018-01-15 08:45
CHILE	020 Appeal, not specified below	EUROPE	25770	2018-01-18 21:30
BANK	042 Make a visit	CANADA	21780	2018-01-16 03:00
AFRICA	020 Appeal, not specified below	MEDIA	25275	2018-01-18 13:15
TRINIDAD AND TOBAGO	043 Host a visit	VENEZUELA	17580	2018-01-13 05:00
UNITED STATES	036 Express intent to meet or negotiate	ISRAEL	23700	2018-01-17 11:00
INDUSTRY	042 Make a visit	UNIVERSITY	22755	2018-01-16 19:15
PHILIPPINE	114 Complain officially 	LAWYER	29865	2018-01-21 17:45
SCHOOL	057 Sign formal agreement	CHILE	18750	2018-01-14 00:30
PAKISTANI	020 Appeal, not specified below	PAKISTAN	24015	2018-01-17 16:15
WRITER	020 Appeal, not specified below	COMMUNITY	2475	2018-01-02 17:15
RUSSIA	042 Make a visit	THE OPPOSITION	33375	2018-01-24 04:15
UNITED KINGDOM	013 Make optimistic comment	JUDGE	16065	2018-01-12 03:45
UNITED KINGDOM	050 Engage in diplomatic cooperation, not specified below	NATIONAL SECURITY ADVISER	30345	2018-01-22 01:45
REGULATOR	040 Consult, not specified below	TRADER	34125	2018-01-24 16:45
PRESIDENT	020 Appeal, not specified below	PARLIAMENT	23790	2018-01-17 12:30
KARACHI	190 Use conventional military force, not specified below	POLICE	25635	2018-01-18 19:15
CONGRESS	112 Accuse, not specified below	UNITED STATES	27135	2018-01-19 20:15
EUROPE	035 Express intent to yield, not specified below	UNITED KINGDOM	4425	2018-01-04 01:45
CHICAGO	043 Host a visit	CAREGIVER	5460	2018-01-04 19:00
SAUDI ARABIA	010 Make statement, not specified below	REUTERS	32700	2018-01-23 17:00
TURKEY	030 Express intent to cooperate, not specified below	GERMANY	12345	2018-01-09 13:45
AFRICAN UNION	020 Appeal, not specified below	PRESIDENT	27915	2018-01-20 09:15
MINIST	010 Make statement, not specified below	HINDU	28380	2018-01-20 17:00
FARMER	043 Host a visit	UNITED STATES	15930	2018-01-12 01:30
EAST JAVA	042 Make a visit	INDONESIAN	7965	2018-01-06 12:45
AMERICAN	040 Consult, not specified below	SUPREME COURT	27405	2018-01-20 00:45
AUSTRALIAN	173 Arrest, detain, or charge with legal action 	POLICE	26235	2018-01-19 05:15
DELHI	160 Reduce relations, not specified below	CORPORATION	2790	2018-01-02 22:30
UNITED STATES	040 Consult, not specified below	RESIDENTS	24570	2018-01-18 01:30
SACRAMENTO	055 Apologize	PRISON	27360	2018-01-20 00:00
SCHOOL	020 Appeal, not specified below	ALBERTO FUJIMORI	29040	2018-01-21 04:00
OTTAWA	040 Consult, not specified below	PRESBYTERIAN	27405	2018-01-20 00:45
DEPUTY	036 Express intent to meet or negotiate	SCHOOL	17505	2018-01-13 03:45
JAFFNA	043 Host a visit	THAILAND	32160	2018-01-23 08:00
TEXAS	020 Appeal, not specified below	GERMANY	15240	2018-01-11 14:00
CONGRESS	051 Praise or endorse	UNITED STATES	33600	2018-01-24 08:00
CIVILIAN	042 Make a visit	SECURITY FORCE	19560	2018-01-14 14:00
WRITER	091 Investigate crime, corruption	VOTER	5355	2018-01-04 17:15
THE WHITE HOUSE	051 Praise or endorse	CONGRESS	810	2018-01-01 13:30
JAPAN	130 Threaten, not specified below	N KOREA	5070	2018-01-04 12:30
EGYPTIAN	040 Consult, not specified below	UNITED STATES	12705	2018-01-09 19:45
HOSPITAL	043 Host a visit	MALE	11325	2018-01-08 20:45
UNITED STATES	110 Disapprove, not specified below	LAWYER	22875	2018-01-16 21:15
AMBASSADOR	042 Make a visit	ENTREPRENEUR	31905	2018-01-23 03:45
BUSINESS	040 Consult, not specified below	EGYPT	23100	2018-01-17 01:00
CHINA	1822 Torture	OBAMA	24435	2018-01-17 23:15
PRISON	173 Arrest, detain, or charge with legal action 	NEW YORK CITY	25200	2018-01-18 12:00
AFGHANISTAN	190 Use conventional military force, not specified below	EXTREMIST	29670	2018-01-21 14:30
WEST BANK	042 Make a visit	ISRAEL	25005	2018-01-18 08:45
LEEDS	111 Criticize or denounce 	BRITISH	11280	2018-01-08 20:00
NORTH KOREA	046 Engage in negotiation	RUSSIA	20475	2018-01-15 05:15
LAWMAKER	036 Express intent to meet or negotiate	HOSPITAL	16680	2018-01-12 14:00
JAPAN	100 Demand, not specified below	NORTH AMERICA	17220	2018-01-12 23:00
STATE ATTORNEY GENERAL	110 Disapprove, not specified below	UNITED STATES	21195	2018-01-15 17:15
NARAYANGANJ	042 Make a visit	POLICE	32790	2018-01-23 18:30
GULBUDDIN HEKMATYAR	042 Make a visit	KABUL	29175	2018-01-21 06:15
UNITED STATES	112 Accuse, not specified below	HAITI	25485	2018-01-18 16:45
CAIRO	051 Praise or endorse	ISRAEL	29805	2018-01-21 16:45
UNIVERSITY	044 Meet at a ÒhirdÓlocation	MASSACHUSETTS	22560	2018-01-16 16:00
ITALY	042 Make a visit	MAGAZINE	7155	2018-01-05 23:15
PRESIDENT	084 Return, release, not specified below	DETAINEE	15645	2018-01-11 20:45
ISLAMIC	110 Disapprove, not specified below	CANADIAN	1800	2018-01-02 06:00
SCHOOL	042 Make a visit	COMMUNITY	21930	2018-01-16 05:30
HAIFA	043 Host a visit	EMBASSY	5310	2018-01-04 16:30
UNITED STATES	110 Disapprove, not specified below	SCHOOL	13995	2018-01-10 17:15
OHIO	181 Abduct, hijack, or take hostage 	AUTHORITIES	18570	2018-01-13 21:30
RESIDENTS	040 Consult, not specified below	POLICE	4455	2018-01-04 02:15
IRAN	163 Impose embargo, boycott, or sanctions	US OFFICIAL	5715	2018-01-04 23:15
ISRAELI	043 Host a visit	PALESTINIAN	31425	2018-01-22 19:45
MEDICAL OFFICIAL	182 Physically assault, not specified below	BRAZIL	6810	2018-01-05 17:30
SECRETARY OF STATE	010 Make statement, not specified below	THE NETHERLAND	15750	2018-01-11 22:30
WASHINGTON	071 Provide economic aid	AUTHORITIES	14475	2018-01-11 01:15
LONDON	043 Host a visit	PHILADELPHIA	15600	2018-01-11 20:00
BERLIN	173 Arrest, detain, or charge with legal action 	ISRAELI	20940	2018-01-15 13:00
RAKHINE	043 Host a visit	ABDUR RAZZAK	33150	2018-01-24 00:30
PRESIDENT	120 Reject, not specified below	UNITED STATES	10740	2018-01-08 11:00
CHRISTIAN	010 Make statement, not specified below	KANO	23175	2018-01-17 02:15
SANA	1123 Accuse of aggression	REBEL	21930	2018-01-16 05:30
LONDON	040 Consult, not specified below	NATO	15750	2018-01-11 22:30
UNITED KINGDOM	110 Disapprove, not specified below	EDUCATION MINIST	21675	2018-01-16 01:15
UNITED STATES	120 Reject, not specified below	NATIONAL SECURITY COUNCIL	5010	2018-01-04 11:30
UNITED STATES	043 Host a visit	INTELLIGENCE	20085	2018-01-14 22:45
SIERRA LEONE	013 Make optimistic comment	PARLIAMENT	31170	2018-01-22 15:30
UNITED STATES	030 Express intent to cooperate, not specified below	WEBSITE	30150	2018-01-21 22:30
UNITED ARAB EMIRATES	150 Demonstrate military or police power, not specified below	QATAR	20805	2018-01-15 10:45
PRESIDENT	0874 Retreat or surrender militarily	THE US	14760	2018-01-11 06:00
DETAINEE	138 Threaten to use military force, not specified below	KABUL	3810	2018-01-03 15:30
MANUEL ZELAYA	042 Make a visit	COSTA RICA	14145	2018-01-10 19:45
HUMAN RIGHTS ACTIVIST	1043 Demand rights	REPRESENTATIVES	2805	2018-01-02 22:45
REPRESENTATIVES	013 Make optimistic comment	PROFESSOR	34080	2018-01-24 16:00
PARLIAMENT	043 Host a visit	UZBEKISTAN	30780	2018-01-22 09:00
MASSACHUSETTS	081 Ease administrative sanctions, not specified below	MAINE	5670	2018-01-04 22:30
MUSLIM	193 Fight with small arms and light weapons	UTTAR PRADESH	1665	2018-01-02 03:45
GOVERNMENT	010 Make statement, not specified below	CITIZEN	15600	2018-01-11 20:00
AUTHORITIES	042 Make a visit	CALIFORNIA	27435	2018-01-20 01:15
WASHINGTON	190 Use conventional military force, not specified below	WALL STREET JOURNAL	5460	2018-01-04 19:00
COMPANIES	071 Provide economic aid	GOVERNMENT	29025	2018-01-21 03:45
CAYMAN ISLAND	036 Express intent to meet or negotiate	COMPANY	33765	2018-01-24 10:45
WORKER	112 Accuse, not specified below	CALIF	7830	2018-01-06 10:30
GOVERNMENT	046 Engage in negotiation	SENATOR	31710	2018-01-23 00:30
IRELAND	051 Praise or endorse	BRITAIN	12180	2018-01-09 11:00
LEGISLATOR	014 Consider policy option	UNITED STATES	23040	2018-01-17 00:00
LEAGUE OF WOMEN VOTERS	043 Host a visit	UNITED STATES	8565	2018-01-06 22:45
PANASONIC	043 Host a visit	JAPAN	24255	2018-01-17 20:15
UNIVERSITY	043 Host a visit	SENATOR	7545	2018-01-06 05:45
SERVER	043 Host a visit	MOHAWK	15225	2018-01-11 13:45
ARGENTINA	190 Use conventional military force, not specified below	UNITED STATES	24495	2018-01-18 00:15
CHINA	0862 Receive inspectors	PHILIPPINE	19290	2018-01-14 09:30
GOVERNMENT	040 Consult, not specified below	MOROCCO	21165	2018-01-15 16:45
ACTOR	163 Impose embargo, boycott, or sanctions	CANADA	11625	2018-01-09 01:45
JALALABAD	010 Make statement, not specified below	GOVERNOR	33645	2018-01-24 08:45
CANADA	040 Consult, not specified below	PRIME MINISTER	17835	2018-01-13 09:15
COMPANY	042 Make a visit	BRAZIL	26910	2018-01-19 16:30
ENGINEER	090 Investigate, not specified below	PORTLAND	9285	2018-01-07 10:45
EMPLOYEE	173 Arrest, detain, or charge with legal action 	BANK	9435	2018-01-07 13:15
UNITED STATES	110 Disapprove, not specified below	SETTLEMENT	27225	2018-01-19 21:45
UKRAINE	010 Make statement, not specified below	AMIT	27915	2018-01-20 09:15
SENEGAL	141 Demonstrate or rally	A US	19665	2018-01-14 15:45
CATHOLIC	190 Use conventional military force, not specified below	UNITED STATES	17355	2018-01-13 01:15
NORTH KOREAN	030 Express intent to cooperate, not specified below	THE US	2130	2018-01-02 11:30
VENEZUELA	163 Impose embargo, boycott, or sanctions	PRESIDENT	31635	2018-01-22 23:15
NEW YORK	043 Host a visit	DEMOCRATIC PARTY	26295	2018-01-19 06:15
AUSTRIA	042 Make a visit	GERMANY	10230	2018-01-08 02:30
MARAUDER	043 Host a visit	NIGERIA	20700	2018-01-15 09:00
UNITED STATES	042 Make a visit	HAVANA	25590	2018-01-18 18:30
PORTUGAL	046 Engage in negotiation	THE UN	19500	2018-01-14 13:00
MINIST OF DEFENSE	020 Appeal, not specified below	POLICE	17145	2018-01-12 21:45
POLICE	193 Fight with small arms and light weapons	CIVILIAN	300	2018-01-01 05:00
UNITED STATES	036 Express intent to meet or negotiate	ENTREPRENEUR	30495	2018-01-22 04:15
INDUSTRY	010 Make statement, not specified below	CREATIVITY	11070	2018-01-08 16:30
UNITED STATES	036 Express intent to meet or negotiate	SOUTHEAST ASIA	10695	2018-01-08 10:15
MEXICO	040 Consult, not specified below	BELIZE	13380	2018-01-10 07:00
KURD	110 Disapprove, not specified below	AMERICAN	32145	2018-01-23 07:45
CAIRO	046 Engage in negotiation	EGYPTIAN	30450	2018-01-22 03:30
ACTOR	020 Appeal, not specified below	WASHINGTON	34035	2018-01-24 15:15
AFRICA	051 Praise or endorse	SCHOOL	33570	2018-01-24 07:30
DALIT	114 Complain officially 	MAHARASHTRA	3630	2018-01-03 12:30
STUDENT	040 Consult, not specified below	MEDIA	25095	2018-01-18 10:15
PRESIDENT	046 Engage in negotiation	SENATE	5205	2018-01-04 14:45
BUSINESS	043 Host a visit	BELGIUM	33750	2018-01-24 10:30
KING	043 Host a visit	UNITED STATES	23790	2018-01-17 12:30
COUNSEL	036 Express intent to meet or negotiate	RUSSIAN	9480	2018-01-07 14:00
SOUTH DAKOTA	020 Appeal, not specified below	FRANCE	16365	2018-01-12 08:45
UNITED KINGDOM	036 Express intent to meet or negotiate	NEW YORK	15045	2018-01-11 10:45
POLICE	036 Express intent to meet or negotiate	CHICAGO	10215	2018-01-08 02:15
THE ASSOCIATED PRESS	052 Defend verbally	AFRICA	21015	2018-01-15 14:15
HILLARY CLINTON	051 Praise or endorse	UNITED STATES	5625	2018-01-04 21:45
KENYA	010 Make statement, not specified below	CABINET	12825	2018-01-09 21:45
JAMMU AND KASHMIR	010 Make statement, not specified below	KASHMIRI	28695	2018-01-20 22:15
MADHYA PRADESH	0353 Express intent to release persons or property	GOVERNMENT	22230	2018-01-16 10:30
SCHOOL	046 Engage in negotiation	UNITED STATES	23415	2018-01-17 06:15
CHINESE	172 Impose administrative sanctions, not specified below	CITIZEN	27165	2018-01-19 20:45
WALL STREET JOURNAL	013 Make optimistic comment	DEPUTY	14520	2018-01-11 02:00
POLICE	190 Use conventional military force, not specified below	WASHINGTON	25740	2018-01-18 21:00
POLICE OFFICER	193 Fight with small arms and light weapons	HOSPITAL	17145	2018-01-12 21:45
GUATEMALA	010 Make statement, not specified below	LAS VEGAS	26175	2018-01-19 04:15
PROSECUTOR	173 Arrest, detain, or charge with legal action 	JOURNALIST	17280	2018-01-13 00:00
ZIMBABWE	042 Make a visit	HARARE	25425	2018-01-18 15:45
CANADA	045 Mediate	WEBSITE	5640	2018-01-04 22:00
SUDANESE	050 Engage in diplomatic cooperation, not specified below	QATARI	15750	2018-01-11 22:30
PRESIDENT	046 Engage in negotiation	NORTH KOREA	15855	2018-01-12 00:15
UNITED STATES	042 Make a visit	MICHIGAN	21030	2018-01-15 14:30
AFRICA	035 Express intent to yield, not specified below	KENYA	26445	2018-01-19 08:45
HOSPITAL	043 Host a visit	POLICE	8400	2018-01-06 20:00
UNITED STATES	013 Make optimistic comment	NASA	34170	2018-01-24 17:30
TURKISH	010 Make statement, not specified below	IRAN	28830	2018-01-21 00:30
POLICE	026 Appeal to others to meet or negotiate	SOUTH AFRICAN	30555	2018-01-22 05:15
ROBBER	193 Fight with small arms and light weapons	GHANA	33795	2018-01-24 11:15
UNITED STATES	080 Yield, not specified below 	SENATE	14055	2018-01-10 18:15
UNITED STATES	061 Cooperate economically	EUROPE	26310	2018-01-19 06:30
CHICAGO	1721 Impose restrictions on political freedoms  	CATHOLIC	25545	2018-01-18 17:45
UNITED STATES	051 Praise or endorse	PROTESTER	4410	2018-01-04 01:30
EGYPT	100 Demand, not specified below	UNITED STATES	28785	2018-01-20 23:45
ATHENS	111 Criticize or denounce 	EUROPEAN	6495	2018-01-05 12:15
PAKISTAN	180 Use unconventional violence, not specified below	LOCAL MEDIA	14505	2018-01-11 01:45
NEW YORK	173 Arrest, detain, or charge with legal action 	TYCOON	5775	2018-01-05 00:15
INSURGENCY	190 Use conventional military force, not specified below	SOMALIA	11940	2018-01-09 07:00
CUBA	050 Engage in diplomatic cooperation, not specified below	THE EU	5760	2018-01-05 00:00
FRENCH	046 Engage in negotiation	PARIS	9180	2018-01-07 09:00
SENA	084 Return, release, not specified below	MUMBAI	16650	2018-01-12 13:30
ISRAEL	051 Praise or endorse	PRESIDENT	29955	2018-01-21 19:15
CANADA	010 Make statement, not specified below	MAYOR	6795	2018-01-05 17:15
IRAN	018 Make empathetic comment	SAUDI ARABIA	22875	2018-01-16 21:15
MACEDONIA	030 Express intent to cooperate, not specified below	UNITED STATES	17145	2018-01-12 21:45
OVAL OFFICE	040 Consult, not specified below	PANAMA	18750	2018-01-14 00:30
ISRAEL	040 Consult, not specified below	GOVERNMENT	25725	2018-01-18 20:45
UNITED STATES	110 Disapprove, not specified below	STUDENT	6675	2018-01-05 15:15
CONGRESS	036 Express intent to meet or negotiate	ISRAELI	24990	2018-01-18 08:30
SENEGALESE	074 Provide military protection or peacekeeping	MALI	16965	2018-01-12 18:45
THE EU	046 Engage in negotiation	ROMANIA	19035	2018-01-14 05:15
